timestamp,day_of_week,release_cycle,iteration,squad,platform,environment,device_id,test_suite,scenarios_total,scenarios_passed,scenarios_failed,status,retries,duration_sec,memory_mb,files_touched,diff_size,usage_cpu,tags
2024-01-16 19:40:02.965641,Tuesday,RC-20240118,1,checkout,android,test_app,Google_Pixel_4_XL_13,regression,51,49,2,fail,1,2449.53,812.7,26,864,0.779,@critical;@performance;@ui
2024-01-19 10:03:02.965641,Friday,RC-20240118,1,checkout,android,release_app,iPhone_12_18,regression,52,45,7,fail,0,3622.65,825.3,8,415,0.438,@ui;@performance;@mobile
2024-01-18 19:40:02.965641,Thursday,RC-20240118,1,checkout,android,test_app,Google_Pixel_7_Pro_14,smoke,18,18,0,pass,0,747.74,287.9,44,434,0.927,@critical;@mobile
2024-01-19 10:03:02.965641,Friday,RC-20240118,1,checkout,android,release_app,iPhone_X_14,smoke,19,19,0,pass,1,1255.44,433.4,42,1430,0.625,@performance;@mobile
2024-01-18 19:40:02.965641,Thursday,RC-20240118,1,checkout,ios,test_app,iPhone_X_14,regression,49,48,1,fail,1,3373.7,875.6,45,322,0.427,@visual;@api;@ui
2024-01-19 10:03:02.965641,Friday,RC-20240118,1,checkout,ios,release_app,Samsung_Galaxy_S24_15,regression,48,45,3,fail,2,2111.34,763.0,42,80,0.48,@performance
2024-01-17 19:40:02.965641,Wednesday,RC-20240118,1,checkout,ios,test_app,iPhone_8_14,smoke,18,18,0,pass,2,1075.27,340.2,9,743,0.316,@ui
2024-01-19 10:03:02.965641,Friday,RC-20240118,1,checkout,ios,release_app,iPhone_13_mini_17,smoke,21,19,2,fail,2,1299.6,762.3,43,1728,0.53,@visual;@ui;@mobile
2024-01-18 19:40:02.965641,Thursday,RC-20240118,1,checkout,web,test_app,browser_firefox,regression,50,46,4,fail,2,3420.82,816.5,2,645,0.879,@visual;@ui;@critical
2024-01-19 10:03:02.965641,Friday,RC-20240118,1,checkout,web,release_app,browser_chrome,regression,48,46,2,fail,0,2176.87,874.9,23,1105,0.567,@visual;@performance
2024-01-16 19:40:02.965641,Tuesday,RC-20240118,1,checkout,web,test_app,browser_firefox,smoke,21,20,1,fail,0,1293.71,773.6,19,487,0.458,@critical
2024-01-19 10:03:02.965641,Friday,RC-20240118,1,checkout,web,release_app,browser_firefox,smoke,22,20,2,fail,2,1087.86,744.0,12,776,0.594,@ui;@visual
2024-01-15 19:40:02.965641,Monday,RC-20240118,1,payments,android,test_app,Samsung_Galaxy_S24_15,regression,48,45,3,fail,0,2882.88,701.4,24,960,0.29,@critical;@api;@ui
